2880,1075,127655,71368
1122,612,44547,18469
1999,913,74460,24835
1416,689,60322,26903
1699,743,95388,40455
2829,1160,98575,42139
1474,847,73543,38300
1474,831,62592,28344
2185,942,80693,32125
2295,1027,81201,25214
1545,746,65813,15361
1191,668,49996,14724
3906,1289,111891,33015
3916,1293,94048,32213
3959,1301,96264,33561
5203,1373,155653,40756
6174,1526,159869,43013
6175,1528,128252,33825
5538,1497,117449,32167
5538,1501,124022,48632
5538,1501,143966,62962
6395,1546,243990,54673
2603,1115,83828,26203
2321,947,78509,25455
1731,815,220864,113695
1731,821,72425,25207
5678,1516,129101,52366
1510,761,97233,43868
1380,744,60197,23664
3334,1167,146333,44864
1665,780,91414,40448
2183,940,89069,30758
6270,1581,215511,139294
3910,1256,202550,139421
931,571,46810,14420
2405,881,69556,24150
2405,879,81089,36912
5459,1451,130811,35515
3698,1194,89230,32583
2250,812,64484,54409
2966,1109,92369,28444
3651,1290,102250,28008
1938,856,63066,23517
1921,865,86216,33974
1959,859,63423,27619
1813,822,63013,23555
1680,793,80380,32092
2036,863,80036,34074
5923,1522,123206,32970
2855,1059,108343,36896
1973,833,69414,25742
19537,4105,344442,115895
1989,847,103102,39196
2785,1068,106809,37894
2605,975,115899,35412
2381,899,72547,32649
2354,1117,122161,46734
1473,783,62510,27096
4722,1416,109746,38397
1956,857,71874,25566
2116,844,72451,28946
2041,865,103897,39041
7205,1698,159757,38523
7205,1698,288202,111687
7205,1691,162433,48395
7205,1697,139652,38790
7205,1696,139383,37750
7075,1646,135355,50236
2193,889,118562,40396
2717,918,76984,26777
1992,869,74942,27987
3599,1185,93552,31552
1831,793,88936,33411
2137,972,68323,23950
3673,1325,104748,36176
1942,865,62185,23308
2137,970,83730,24782
2197,895,85152,33214
2222,909,71818,24839
2220,911,71741,25672
2060,867,67496,25787
2631,1065,96272,35899
2680,1080,105429,37438
2207,913,103823,48625
1843,794,63473,28077
1941,852,97770,37524
1802,815,66250,32875
739,523,39564,11372
2287,927,75188,26281
8896,1983,229848,60165
3571,1104,92232,37137
2900,1082,82149,25988
2838,1055,103799,26679
3010,1077,108176,26264
1796,811,124075,35680
1959,863,101168,33612
2114,887,76078,24968
1928,828,111171,45971
10429,2604,180964,71955
1981,857,62423,25345
3298,1151,98567,28289
2155,1031,72175,39149
18225,3877,385793,87663
2761,1052,89862,27609
887,499,42998,11273
1894,880,115476,45576
4180,1235,157827,28335
7558,1813,189495,56855
2302,951,120179,40496
4146,1043,98448,37161
2488,1005,78292,27069
1331,659,63593,32543
5521,1326,150279,49511
3372,1212,96578,46934
3372,1210,92623,27078
1007,542,61577,19368
1657,820,74481,29488
7109,1680,178123,53353
2182,938,85087,28251
2647,1060,106949,65348
8896,1983,162264,47319
2223,939,68420,24024
2329,868,174951,93134
2474,1095,171666,99497
2506,1001,81142,34820
4009,1279,209834,84786
7164,1667,149882,39954
2375,1085,78281,27754
4009,1501,181605,62971
4084,1398,169839,61185
15240,3447,309179,94190
15240,3486,305309,61511
17249,3205,235854,52638
5925,1603,193173,77749
5927,1601,137006,45772
5961,1613,138450,32501
4641,1216,140959,49723
3024,1141,95179,44565
3905,1317,104311,33387
2673,997,82915,28349
3527,1238,142851,48980
2846,1099,90212,31379
1659,777,102175,41656
3529,1248,144018,48577
5290,1662,120585,31332
1157,660,52209,22987
2759,1069,87568,28661
2771,1056,86431,57246
520,399,44886,18420
748,541,38230,10118
2946,1110,81545,34985
1895,839,86193,58918
3302,1216,148098,47926
2670,1001,88679,26855
2350,902,80613,27692
4107,1108,126304,55560
3673,1329,119647,41273
2717,1023,98044,27402
2209,918,107790,38438
6851,1467,123110,39394
1774,829,74515,32831
6667,1453,140715,40743
3090,1082,120103,36991
2717,1015,92277,45043
2792,1053,103972,26130
2853,1069,107414,27509
2877,1052,86446,25510
2981,1107,88739,30057
1667,760,56682,23938
1706,788,103529,25476
1959,860,69513,27691
942,617,45866,10346
6080,1775,221834,71730
6080,1774,131906,61140
6153,1790,179465,43079
3314,1146,95241,27765
1998,766,519388,33695
6087,1769,132587,42938
6072,1778,156750,40925
942,617,61719,17243
6082,1770,134951,34439
6064,1768,212327,54336
6127,1771,182354,50508
2267,913,70755,26200
3764,1392,135052,41982
2288,925,101066,34760
2334,941,97692,33715
2310,937,72295,32885
3793,1285,96233,32482
6124,1776,147261,50651
2603,977,104633,36595
1767,797,64602,23571
2267,907,98437,40034
3442,1028,84278,37731
6124,1772,261565,152863
2670,1085,106063,35912
2671,1081,81206,26519
1830,803,67385,28713
1367,702,59405,29131
1830,807,63968,23460
1959,861,86979,31425
5678,1507,329615,174785
5678,1508,181581,42735
1847,817,76456,29970
5678,1511,171430,97763
2216,837,64467,24912
1959,858,104131,44032
2324,867,67286,29104
2077,894,68776,25316
1370,697,69502,38465
4547,1364,111975,31318
5450,1569,156911,48308
2178,903,103653,36239
3118,1109,91245,27188
3090,1160,100441,33823
1592,737,56733,24949
1588,798,83087,36954
1940,959,78289,35710
3642,1217,125833,39511
3740,1231,99862,36579
4686,1386,155870,43118
3904,1323,136583,29958
3018,1177,84552,28638
3095,1088,137063,50498
1959,862,66259,27863
3369,1177,117027,35515
2160,912,74029,36992
2200,922,95236,29643
2655,1019,76858,26693
20801,4809,491259,87817
5292,1866,131912,33185
3600,1320,100755,29336
5292,1867,138447,32974
1567,736,56045,30473
2115,878,71589,26191
1364,736,88970,39146
20801,4809,300611,80293
830,557,61080,16536
3057,1149,124595,28852
1461,749,57674,27872
6056,2014,188177,54838
1372,747,72287,36704
2035,855,66633,33948
1461,750,53464,23603
2688,1056,105012,33528
5231,1479,118639,36409
1461,744,77698,29924
2035,856,64946,23813
1162,711,46908,22248
1372,747,58363,15978
1139,700,52924,23106
2035,853,104832,40258
5824,1697,161426,47408
2091,862,66488,24604
2091,860,67377,23670
2047,954,110170,38438
1372,747,53813,15391
1872,791,61433,27413
2033,934,81004,31947
2500,1085,102625,28633
6864,1717,163722,40078
2091,956,87610,34841
1372,747,54623,15172
6253,1603,135066,34638
8930,1627,151540,50576
980,604,50117,24877
3423,1392,117483,42010
5910,1964,149974,34064
3936,1252,90358,41242
2475,984,71946,30546
1990,865,66529,24077
2946,1027,89173,31621
1617,738,75044,24217
2503,951,77309,34569
3326,1118,84408,27184
3153,927,78124,25718
4241,1319,104859,29035
2526,996,84356,31666
4247,1321,160826,55654
4248,1319,117590,45497
1990,872,97480,35889
1915,815,64347,24290
3542,1435,111037,44278
4910,1324,111325,35748
3543,1443,107636,28334
2464,908,79364,33022
1522,752,102611,24969
1659,777,58964,24522
3491,1416,105059,27699
2337,922,97687,33199
6072,2019,148998,42364
1901,821,63171,26854
1997,892,72133,24547
8739,2195,197930,42952
1443,714,67220,41321
2025,860,94746,40020
2383,943,109326,38462
16589,4489,269045,63148
3357,1299,86418,28485
5828,1509,121607,31400
5946,1457,116985,43659
5946,1462,111667,30083
5127,1299,236363,722042
1615,766,63169,31074
1615,766,57210,24972
1461,747,76146,33482
1461,749,65832,29059
9397,2147,310877,78415
3928,1510,101792,40847
2180,915,70106,25074
1628,761,57837,26240
2534,1003,84037,27042
1950,867,78795,23143
3286,1463,92428,33391
1426,731,63524,22935
6350,1838,137075,33169
3301,1470,87779,27592
1998,913,65544,28321
5312,1454,155369,42478
1139,700,53798,42549
6336,1840,177187,42865
6339,1844,179850,63757
1988,885,67829,27834
6290,1820,193440,39395
6279,1814,139241,43333
6188,1781,147498,52949
1139,706,71123,40525
6252,1804,169354,51944
6252,1807,132850,33176
6250,1801,218229,60424
6244,1809,131999,33717
6223,1811,137598,35558
6228,1809,146494,60257
6241,1810,141469,34805
6285,1809,131189,32704
6311,1828,144152,49085
6359,1835,141480,32983
6367,1838,134652,34194
6353,1832,135116,40749
6383,1844,166919,47209
6328,1837,150004,50607
6298,1824,149112,38270
6309,1828,140549,33545
31135,4570,565973,125439
2254,938,75727,27335
6410,1843,142952,75580
6476,1864,144591,37344
1412,723,56084,29701
5118,1550,113449,31210
1776,777,71545,29767
6472,1862,134763,33581
2204,857,70444,47477
1805,824,99683,31564
976,656,50946,23036
1461,745,69604,32577
3948,1297,122428,35234
7830,1502,417115,99371
2750,1050,82147,29204
3055,977,82756,26769
1622,831,59418,33828
2243,950,75948,31947
6821,1871,158004,43117
2376,982,398687,181951
1484,783,75388,37389
6841,1872,211573,58576
6838,1864,148166,45012
6827,1869,141619,43520
6815,1870,172035,59798
2865,1054,93440,48469
3342,1480,118829,48237
494,377,39860,14146
2754,1046,91157,35547
3342,1482,97546,31090
3342,1479,93466,30324
1554,813,94447,33543
3086,1377,95301,39748
1578,758,98055,42996
3075,1379,103979,37732
2393,1134,69913,24723
2994,1223,103474,38209
2521,1046,83849,31735
2528,1005,74795,30025
1738,897,85520,34426
2043,867,72442,26136
6042,1621,125529,43831
6042,1619,164425,47409
2046,863,80636,37749
2762,1045,80137,27510
1098,634,55857,26834
1738,851,78299,32264
2754,1048,487579,112849
1539,766,63694,24602
1710,829,76419,26448
2754,1048,82511,26317
1788,848,87991,36806
4631,1213,113753,37759
2756,1035,85502,26473
1788,848,68275,33907
3075,1375,88792,35925
5252,1344,150105,38850
2345,1000,73472,27563
2346,991,97346,34795
1959,862,69374,29777
7169,1905,4232376,113607
2438,1111,101880,36329
1224,741,50239,22707
3077,1096,85698,42293
2328,959,104087,40355
2164,916,82220,27246
1058,626,42653,11587
2164,921,102869,31703
1028,617,55560,16643
893,553,60818,15429
3262,1416,92436,30007
2683,971,77197,37607
912,570,73852,21704
3443,1135,155221,39307
3266,1419,107681,37590
1072,611,46396,23243
1120,622,53531,24623
3266,1415,89223,28225
2328,956,74053,34419
1072,613,67240,29541
2843,1099,109606,40098
3077,1097,84606,27206
3077,1094,83737,27140
1178,644,49370,42661
1725,842,70755,25383
8348,1724,164427,35732
2472,1085,85542,28478
880,546,41604,12007
891,555,46002,15326
8085,1692,145491,42715
16933,4578,310021,62945
1755,774,58995,23168
2164,918,74968,25143
1203,687,49811,23363
957,609,43671,10275
1579,839,69257,27283
911,571,55589,17433
923,574,55032,11899
880,546,48509,12501
891,555,52827,16369
1944,854,84957,32139
896,556,43424,11089
11027,2613,198482,67689
2549,995,85209,40718
4907,1582,189590,60770
2213,1023,92331,36149
2207,1018,75142,29148
11088,2589,251175,67915
5258,1343,151953,50099
6436,2045,248493,59885
2209,1021,73781,28768
4325,1270,136150,37330
2286,1040,72814,26185
11085,2594,197369,63397
4273,1277,144170,33739
2712,948,85601,26912
2210,1015,80882,26742
2777,962,82249,34699
3264,1139,154170,35810
2208,1022,78031,29959
2779,961,74421,26696
3848,1078,84552,28176
3258,1128,133976,42178
2354,1045,79972,25904
3258,1133,87086,38133
2643,1023,76986,28004
2336,1016,85167,37922
6436,2049,182248,57022
2173,882,92580,27047
2339,907,109905,37663
2142,1023,68006,32940
1144,729,63195,31888
2855,1212,89732,36498
2798,983,76559,26758
5186,1726,136891,34224
5186,1722,188949,46670
1098,707,47991,22695
3649,1116,111309,32038
4017,1424,157924,47108
967,647,44054,18527
1673,982,86250,59719
4208,1697,160384,46033
12037,2554,263951,46849
8355,2027,235921,61770
2336,1019,76945,29233
2429,977,74120,25316
25423,18559,282955,85786
2691,1014,75083,25544
2691,1016,74324,26195
2691,1011,84210,26260
2691,1010,107312,38170
2333,947,106894,39479
1703,840,85739,26681
1962,875,72243,33993
3649,1113,84745,30873
2105,912,82327,49166
2112,918,87093,37602
2945,1058,161344,41275
2236,1019,104816,41147
4848,1889,134272,39964
9536,1684,153217,49311
10470,2259,240883,61238
10470,2259,187992,49117
1571,846,56314,16116
2948,1055,85832,43811
3265,1166,120766,59417
3737,1229,133205,31072
5982,1723,141387,34368
10501,2275,245688,56740
1691,837,74934,32992
10502,2274,206774,40390
8980,1624,168997,35443
2261,963,72048,26502
10585,2282,197176,51659
9033,1628,178775,34551
4008,1341,113567,42422
2352,900,115071,38521
1706,841,61591,23713
2841,775,64186,25150
8464,2126,183963,40382
4920,1226,129785,38248
11014,2032,199868,46475
3812,1278,101855,39024
11012,2037,186979,51392
975,605,45635,10903
5355,1412,203879,31220
5351,1409,134355,30327
3445,1232,100336,30704
3439,1229,127334,29947
3435,1219,92092,30518
3207,1197,143539,41488
4664,1443,128248,38721
3540,1231,88255,31139
1712,842,72904,30527
1959,860,115883,36633
1812,808,87421,30702
4642,1649,139990,32527
1874,965,68998,24402
2080,957,68320,25476
1697,835,72340,25612
2544,1008,114559,39844
1678,773,94640,43165
1255,728,56513,24861
2544,1007,83385,25579
1689,769,97899,35919
1587,835,60580,23772
2884,1424,150259,42153
1678,773,56348,23362
1697,838,73049,38522
7558,2949,204302,55675
4891,1274,116572,35984
1475,746,56721,25010
1510,770,73898,31769
3524,1322,103845,32987
7559,2947,193633,43836
7559,2946,251930,54759
1712,844,63209,23618
6693,1643,184517,52045
2016,803,68810,121252
2764,975,78697,26073
2884,1430,89769,28730
1727,843,63502,24528
29167,7411,496057,147144
29197,7408,477452,101630
3815,1249,109774,35679
2613,1039,93181,35808
29219,7416,476497,115825
6738,1653,217555,49421
29591,7526,469639,135256
1403,697,86940,40069
1996,927,70058,23931
2084,944,68092,27401
29983,7637,737016,165094
2083,947,125679,28141
29880,7613,449814,104784
29900,7620,584878,104707
4795,1533,145925,36222
30250,7700,564501,138268
7559,2945,278236,66344
7710,2011,181375,44453
30351,7733,485368,138757
4795,1533,127302,35373
2114,887,104400,41630
1631,776,77919,32538
30854,7803,480560,104494
30850,7799,464221,109734
2086,1305,104757,33111
1959,860,105804,25475
7480,1979,163103,39398
32178,8022,486925,109478
1720,774,62351,24164
4046,1357,109182,34073
25484,6994,427574,102259
1989,847,86575,33660
4070,1355,106775,33926
31895,7930,465076,102740
25530,7011,456078,110569
4072,1359,123237,34165
2041,856,82559,33526
4066,1357,128481,43574
2352,970,94498,31372
1606,761,60682,26500
4451,1361,114339,40036
1851,801,62896,24585
1567,732,69193,29302
1959,865,65712,24115
9188,1927,233585,51705
1495,709,54391,23735
1940,852,61077,27322
6383,1693,156418,34615
2114,883,103040,35038
2114,886,147557,98486
2114,887,67767,25808
1606,763,81896,39988
2114,884,69752,24879
6208,1649,128159,32825
1852,914,87027,53260
1586,761,61899,24933
862,585,58194,16300
3567,1271,155955,52745
2164,940,86943,33704
1610,825,84630,36982
4310,1406,161961,60501
6181,1805,210142,52909
1606,820,78052,39395
1929,853,93724,33281
2932,1139,88229,30296
1631,776,152729,99007
3714,1458,101301,31742
11399,2835,254323,47692
1697,839,67076,24725
11399,2832,229102,64655
1794,826,66294,27240
9809,1935,195822,42506
2617,1018,75308,26799
1989,846,64171,28974
7559,2951,218894,51206
2307,934,84328,34294
2419,958,92540,26807
6181,1805,134566,33910
7772,2973,189555,45408
7846,2989,226472,75389
6243,1847,201189,54087
7916,2990,257399,60254
2792,1078,83111,26543
1631,772,66688,26247
3430,1340,99155,30259
3457,1193,177827,51013
10334,3602,234585,61728
6706,1606,136003,33920
18278,3922,262829,93031
7925,1727,206409,64222
2751,1022,96386,34530
1707,843,61891,23823
4707,1472,144705,37920
2714,1212,81436,26143
2855,1065,136898,32817
1854,806,63843,28253
1574,732,55138,24509
10334,3596,254745,65325
2714,1213,83646,26431
4220,1837,119756,37104
1702,842,72394,23983
4220,1832,173389,33751
1371,672,76497,26215
1482,760,70289,31761
1375,671,53930,23805
2714,1211,82583,27539
2365,999,74297,35174
1961,864,70266,25140
7804,2977,250894,110416
1702,840,167419,101404
1373,677,54110,22681
4616,1545,110874,49665
10422,3627,231044,58035
2365,1003,72799,26345
4529,1378,123969,30705
1959,860,77517,30533
1712,842,141953,53581
7853,2990,187004,44850
2801,1075,94784,28461
2502,859,72062,28467
1728,796,97961,40183
1875,809,64945,24992
1196,656,60429,27769
1258,663,51479,30116
1266,674,59937,119871
1790,927,62267,24529
1702,843,62375,25027
5139,2771,122153,32589
6313,1751,147866,38224
2974,1137,116214,36757
3005,1145,114589,34059
1423,750,64332,34239
2981,1124,126929,34809
1579,707,63746,29735
1702,842,87594,36994
6352,1784,140031,34736
1611,785,71307,32006
1697,841,67285,24705
1613,787,60064,25093
6213,1653,153999,47689
6216,1653,132308,34295
1692,844,74737,24024
5752,1501,174852,44657
1631,776,74176,30975
2133,914,68486,32345
2333,929,86729,33599
2133,913,90679,33532
1702,837,66932,30366
1927,852,78113,35344
2552,1070,104887,33596
3857,1214,98420,29017
2133,913,84658,32693
10091,2296,214462,41324
1927,852,77709,24764
41908,9569,660046,123136
2109,909,89362,34647
1643,808,63637,30198
8778,2211,203134,48080
41774,9537,649283,127662
41750,9542,1217721,186870
1649,813,96240,38127
8781,2208,265843,97196
1963,838,89225,33444
41795,9548,604760,137503
1959,858,71182,27316
3403,1387,142726,39186
1894,882,92208,35445
42072,9586,843785,162090
21665,4413,299967,116656
2832,1027,104708,35788
1631,774,67468,26473
1500,766,55892,31756
42232,9573,652196,133418
2109,914,81411,47268
2109,908,67288,25779
3843,1246,99678,32789
2141,912,93052,26861
42252,9572,634653,138962
3838,1248,118578,33187
8976,2246,201124,44998
42722,9717,658757,165779
4203,1321,130706,47568
2104,910,84191,30506
2082,904,75293,28409
2103,907,68355,24572
2098,904,77661,59288
42806,9744,616641,151391
2108,886,70289,27279
27993,7136,503356,118084
27999,7137,655517,148713
994,576,45345,11614
27857,7095,425920,89861
12056,3587,288122,69900
1631,776,83086,2305204
4311,1562,135739,42009
1041,581,44464,10412
13287,2324,225444,51207
2199,921,74901,29308
4020,1306,104304,29004
3981,1297,101792,32871
10016,2285,800198,42271
2199,927,76172,26124
6399,1580,159368,47441
9925,1889,196167,45160
11031,2042,190957,50195
6348,1921,227193,61139
1707,739,65303,28449
7173,2028,162257,46447
1671,783,60859,27288
1782,815,106713,40192
1777,778,56077,34788
2332,921,67940,27370
6134,1862,177566,42333
11034,2087,200166,57573
1550,721,52183,24464
6162,1587,175396,33521
3166,1100,144300,47711
6130,1862,147126,37852
9504,2266,214981,48657
6122,1862,147126,57964
6530,1935,183971,77777
6576,1944,156776,36921
6606,1947,215517,48467
6624,1959,153711,35192
6625,1955,156858,40947
6144,1864,218708,43272
2170,886,69057,28065
13698,2711,247961,51815
3554,1253,97560,37330
2096,902,73617,26804
7450,1891,162341,40986
2114,884,97728,34042
2671,1029,104170,40947
2114,885,67722,26389
3375,1204,89405,31561
1579,710,55285,23944
3528,1185,119833,38441
1580,709,65908,24707
2155,906,110789,49476
1535,704,56098,35597
2155,901,112398,39821
5308,1492,154106,53159
16689,5090,269744,90196
2091,909,69162,26118
3909,1334,100601,37342
2700,1355,83662,37911
2700,1352,108547,37664
12056,3588,268686,55515
1705,781,78768,34776
2001,879,98006,35387
12064,3589,269750,99831
6187,1700,139033,33758
12060,3588,273111,61685
12060,3590,270091,52550
2321,1047,70761,24633
12059,3588,246393,49762
2321,1040,71524,24198
6345,1743,139950,33404
12055,3589,245614,55588
12058,3585,263527,51831
12056,3589,278328,50596
6112,1672,146271,38487
6493,1840,138887,36147
1266,671,52002,24207
6122,1680,172634,40034
12056,3576,326255,78531
1631,776,59301,25353
2199,916,72232,26379
1619,789,103972,41266
5760,1723,212720,63221
12805,2774,235598,50174
2123,1031,94018,28754
7391,2289,200244,48397
480,377,33255,11304
4800,1350,133936,29929
3018,1371,93821,28531
4839,1391,144386,33745
3562,1166,107876,29476
1619,791,86723,37370
1266,663,144365,128477
3039,1392,93334,28382
1268,671,50625,23941
2123,1030,82928,25951
3037,1400,149118,44625
3107,1412,149737,42015
1902,828,85831,45842
1179,681,50013,24008
2108,885,68143,24307
2066,992,92965,26315
2714,1106,78743,27072
17377,5249,273258,75011
1659,776,59666,24782
2109,975,76925,30471
2344,1046,98522,25183
1578,762,59796,24469
596,445,34195,9629
3633,1328,135871,39892
1450,729,78369,38160
2445,1070,91801,27376
8692,2038,164847,36104
5303,1842,144259,33372
3011,1024,92164,41329
3426,1318,202630,46958
932,624,45157,18732
3429,1319,95987,36461
541,402,32454,9452
3426,1318,144109,94682
3423,1311,124024,56124
3039,1391,115887,31430
3419,1318,101803,37886
1753,800,99154,33137
1753,807,91031,31344
1912,842,81890,42670
1538,757,65519,29745
5319,1607,129096,33212
2077,977,122238,40761
14487,2557,260395,51620
5321,1613,186513,47003
3053,1108,135799,64561
3209,1152,185300,126834
1074,704,45820,24895
1533,751,113861,36407
4178,1171,222484,123270
1583,770,99044,25604
1384,746,53780,24401
3049,1393,102803,34599
6656,1870,164819,43507
6864,1715,179725,49675
1768,845,70457,25329
2615,1036,97702,31782
2637,1251,86641,28437
2089,989,85935,27861
1491,846,57432,38499
1586,860,68896,34106
2084,992,87909,45809
2084,989,72513,34581
4284,1299,119152,30847
5011,1632,313731,43739
1592,769,173803,120806
10262,1941,182383,58251
1631,777,58673,23617
2952,1128,94491,27332
1615,757,66835,26220
2261,968,90452,34697
3190,1020,78065,33036
