309,286,2020847,99828
263,240,1536824,52244
271,257,1336494,25433
274,251,263800,22978
266,255,1113840,28064
274,251,335000,29949
291,253,1682329,62890
268,245,313792,31206
268,246,1147273,36066
268,245,265627,20712
268,245,1604980,27906
268,246,286974,28110
272,249,269014,20722
266,243,579434,34470
263,240,583327,44585
277,254,376465,28163
282,260,245081,26259
262,240,276126,21427
262,239,251059,21186
262,239,298657,21499
262,240,253758,20916
322,297,245791,27052
322,298,239295,22720
322,298,274368,26492
322,298,310360,22046
322,297,363595,27014
322,298,250690,25213
315,291,263659,24890
277,254,250820,28420
277,254,245450,25125
270,246,346991,87318
270,247,309908,30431
270,247,331359,28100
270,248,1213608,29794
270,248,251183,26816
270,247,259446,21408
266,245,255656,28210
311,288,210892,22338
263,242,238030,26118
334,311,246311,22447
263,243,270735,21611
263,242,318056,29547
263,242,286582,30896
263,243,288346,25149
263,242,407385,32063
306,284,253875,1689034
307,284,384556,29136
306,284,1210978,23947
306,283,264842,25108
307,284,249833,23275
307,285,252689,26261
263,243,247882,29050
263,243,284565,23028
263,244,239772,24130
263,243,1314559,22309
263,243,249709,26562
263,243,256246,23121
263,243,266240,19581
263,243,247997,21660
263,243,248647,25429
263,243,278887,26323
263,243,1707869,316281
263,244,252697,28678
263,242,254479,20607
263,242,244969,20897
263,244,239505,26884
263,243,243685,26093
263,243,260733,29624
263,244,242426,26323
263,244,330731,24148
263,244,251809,33117
263,243,236202,26375
263,243,276167,21786
263,242,263072,24367
263,243,245883,27792
263,243,242863,24796
263,242,232730,35135
263,243,293001,24379
263,243,241752,25569
263,243,2074446,109568
263,244,250158,21018
263,243,275437,25425
263,242,274535,27420
263,243,279065,19597
263,243,235456,20740
263,243,258796,26037
263,243,384613,26551
263,244,228496,22260
263,242,238718,114810
263,243,238742,21666
263,243,326793,31879
263,242,269230,28916
263,242,224984,24688
263,243,520930,35996
263,243,254803,24169
263,243,261871,26387
263,243,243782,26663
263,243,266902,55941
263,242,230925,24705
263,242,238844,26999
263,243,1059068,23545
263,242,255005,26256
263,243,249392,23481
263,242,246206,26415
263,244,191283,24207
263,243,267577,73294
263,242,327283,29430
263,242,4591211,71339
263,243,336713,25899
263,243,243925,21135
263,243,266619,36103
263,243,229864,24655
263,242,246770,26182
263,242,232183,21103
263,242,1399537,31064
263,243,245875,46750
263,242,233960,20002
263,243,241955,21381
263,242,236030,21954
263,242,215578,20478
263,244,244536,28283
263,242,1392738,26833
263,242,261352,26246
263,242,268818,55528
263,243,257243,19727
263,244,258187,27002
263,243,306278,25899
263,243,265821,33365
263,242,528072,364235
263,243,237979,32055
263,243,295980,27777
263,242,273571,25737
263,242,312237,23111
263,243,258711,27098
263,243,270598,32502
263,242,261916,27869
263,243,256690,33170
263,243,370381,28126
263,243,284704,27683
263,242,14538924,33870
263,242,270354,31777
263,243,264138,27245
263,243,14230879,48116
263,243,240982,24978
263,243,235323,19596
263,242,233853,20768
263,243,1329957,28102
266,246,244051,23547
263,242,231654,20089
263,242,273229,26961
263,242,256902,22317
263,242,269748,22026
263,242,266317,27033
263,241,978549,25854
263,241,265468,26132
263,242,295147,27268
263,241,289287,26062
263,242,248656,28226
263,241,244962,20056
263,243,268166,25632
263,244,1228640,37690
263,243,232169,20326
263,243,426462,22136
266,253,253323,20310
269,256,406084,21518
269,246,314706,28204
269,247,264750,26588
273,249,303339,27570
269,246,250880,20976
273,249,469494,22504
272,255,234822,27644
263,241,445888,23809
263,241,213033,20306
263,241,349697,27383
263,238,537053,21917
263,241,490413,26155
263,241,273502,22441
263,240,322593,27600
263,243,1268884,28184
263,240,241437,19959
263,240,230015,20475
263,240,269560,20825
263,241,219556,27766
275,249,276888,23509
266,243,240159,21428
263,244,280933,20706
263,242,227623,19952
263,241,268547,25476
263,242,260244,21581
263,243,231093,31204
263,241,276719,23385
264,244,263721,29485
263,238,325876,23296
263,240,237502,25472
272,255,251262,29806
272,257,235646,21052
272,256,222796,25379
272,256,226154,20176
272,254,269631,20202
266,244,1137158,23059
273,252,256218,19815
276,253,238738,20494
268,246,260286,19536
273,251,241283,25589
270,257,263279,19921
273,251,274337,35153
273,252,1311519,23829
266,244,228457,21149
266,245,239385,34187
266,244,325281,20813
271,248,250180,28286
314,291,273332,28913
312,289,272057,27412
329,289,266817,22848
328,289,258549,29293
328,290,268152,33062
328,289,262229,25896
328,289,258930,33676
270,257,256253,24102
309,297,261338,29378
309,295,682798,23482
309,287,278608,27522
309,296,260418,28051
270,246,1044388,34297
270,247,276839,25675
270,257,296554,27538
273,251,299026,37656
320,294,412794,125097
320,294,351945,80406
320,293,341513,82192
320,294,1474006,528806
320,294,233232,22344
320,294,330372,29595
314,291,263473,31187
300,279,375666,29269
314,291,443984,22788
318,296,261664,47393
304,282,347528,31022
331,309,300238,41329
322,299,267413,27498
263,242,265232,22458
263,243,213807,30041
263,243,295520,22994
263,242,280784,31789
263,243,263788,24547
263,243,254823,24109
263,242,273685,21462
263,243,251949,33737
263,243,439903,96329
263,242,303370,27866
263,243,254504,58521
263,242,234803,19781
263,242,341474,29383
263,243,265435,26335
263,244,264159,22457
263,242,1422683,28931
263,242,255714,21960
263,242,248080,24433
263,243,242114,33086
263,242,224337,27398
